filename,predict_pose_x,gt_pose_x,predict_pose_q,gt_pose_q,ang_error,x_error
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00001.png',)","[-5.744557857513428, -33.83992385864258, -2.567021608352661]","[-5.89655065536499, -33.70648193359375, -2.470350503921509]","[0.21111997961997986, -0.15444673597812653, -0.6562986969947815, 0.7077052593231201]","[0.22201871871948242, -0.15574008226394653, -0.6592822670936584, 0.7012842893600464]",1.4956393,0.22417372
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00003.png',)","[-5.838142395019531, -33.97038269042969, -2.662599563598633]","[-5.891239643096924, -33.68482208251953, -2.4834046363830566]","[0.19962850213050842, -0.15587331354618073, -0.6555089354515076, 0.7114492654800415]","[0.22279173135757446, -0.15456239879131317, -0.6576590538024902, 0.7028220891952515]",2.8470812,0.34128433
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00005.png',)","[-5.707383155822754, -33.83830642700195, -2.668779134750366]","[-5.923714637756348, -33.717628479003906, -2.4951837062835693]","[0.21782684326171875, -0.1471378356218338, -0.6283025145530701, 0.7322144508361816]","[0.22536468505859375, -0.14439745247364044, -0.6320660710334778, 0.7272226214408875]",1.1636372,0.30248612
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00007.png',)","[-5.7628493309021, -33.675498962402344, -2.6248860359191895]","[-6.00725793838501, -33.78364944458008, -2.5393357276916504]","[0.24154584109783173, -0.13363468647003174, -0.5712027549743652, 0.7729973196983337]","[0.23502516746520996, -0.1335928589105606, -0.5823767781257629, 0.7666507959365845]",1.6508621,0.280626
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00009.png',)","[-5.653616905212402, -33.87015151977539, -2.6053884029388428]","[-5.984312534332275, -33.87165451049805, -2.5234792232513428]","[0.24693061411380768, -0.09879977256059647, -0.5162686109542847, 0.814082682132721]","[0.24004201591014862, -0.11149388551712036, -0.5272275805473328, 0.8074527978897095]",2.212121,0.3406919
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00011.png',)","[-5.665668487548828, -33.725337982177734, -2.504430055618286]","[-5.9905853271484375, -33.90435791015625, -2.5531466007232666]","[0.23856672644615173, -0.07414109259843826, -0.46880093216896057, 0.8472394943237305]","[0.24295802414417267, -0.09055094420909882, -0.4708225131034851, 0.8432663679122925]",2.0119977,0.37415555
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00013.png',)","[-6.3383331298828125, -32.99856185913086, -2.5836329460144043]","[-6.286672592163086, -33.50802230834961, -2.532341480255127]","[0.13022370636463165, -0.037006836384534836, -0.4998991787433624, 0.8554374575614929]","[0.1271926462650299, -0.03669678047299385, -0.49836382269859314, 0.8568015694618225]",0.41871348,0.5146354
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00015.png',)","[-6.099985599517822, -32.40657043457031, -2.4184799194335938]","[-6.2366719245910645, -32.7455940246582, -2.339721918106079]","[0.03393888846039772, -0.0937134400010109, 0.636629581451416, -0.7647017240524292]","[0.032494984567165375, -0.07036411017179489, 0.6447368264198303, -0.7604653239250183]",2.8779812,0.37392908
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00017.png',)","[-6.086415767669678, -32.01346206665039, -2.250535726547241]","[-6.468806266784668, -32.057708740234375, -2.250478506088257]","[0.05986613780260086, -0.08753764629364014, 0.6963139176368713, -0.7098593711853027]","[0.04881485551595688, -0.08097240328788757, 0.7002314329147339, -0.7076274156570435]",1.5601853,0.3849419
"('../data/deepslam_data/Cambridge/StMarysChurch/train/rgb/seq10_frame00019.png',)","[-6.454920291900635, -30.959510803222656, -1.5655924081802368]","[-6.427144527435303, -30.971036911010742, -1.4182446002960205]","[0.06149529293179512, 0.004206148907542229, -0.6846573352813721, 0.7262541055679321]","[0.06866820901632309, 0.015793487429618835, -0.6852385401725769, 0.724902331829071]",1.5706853,0.15038525
