filename,predict_pose_x,gt_pose_x,predict_pose_q,gt_pose_q,ang_error,x_error
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000680.color.png',)","[-0.4283936321735382, 0.174237921833992, -0.3436755836009979]","[-0.40508949756622314, 0.1484663039445877, -0.3095513880252838]","[0.8549374341964722, 0.13098680973052979, -0.37096327543258667, -0.3380986154079437]","[0.8587765097618103, 0.1362849920988083, -0.36527925729751587, -0.3324158787727356]",1.1882639,0.048700307
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000560.color.png',)","[-0.0007593878544867039, 0.26124048233032227, -0.258784681558609]","[0.009093898348510265, 0.23686444759368896, -0.22286592423915863]","[0.9891766309738159, 0.07138680666685104, -0.07534468919038773, -0.1037149652838707]","[0.9894976615905762, 0.0774308443069458, -0.07239414006471634, -0.09827456623315811]",0.9914912,0.044513315
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000070.color.png',)","[-0.25874602794647217, -0.49560779333114624, -0.05749640613794327]","[-0.2693990468978882, -0.5393714904785156, -0.03453253209590912]","[0.9741039276123047, 0.1556447446346283, -0.08026083558797836, -0.1430194079875946]","[0.9729054570198059, 0.16386136412620544, -0.07896939665079117, -0.1427173614501953]",0.96265304,0.050557762
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000045.color.png',)","[-0.7331868410110474, -0.13375578820705414, 0.13681721687316895]","[-0.726823091506958, -0.1717066615819931, 0.15951260924339294]","[0.9813242554664612, 0.03976937383413315, -0.14857080578804016, -0.1155327558517456]","[0.9814356565475464, 0.04971415549516678, -0.14559927582740784, -0.1145138293504715]",1.1948326,0.044674903
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000660.color.png',)","[-0.36961302161216736, 0.1800471991300583, -0.3296482563018799]","[-0.3531399667263031, 0.14279420673847198, -0.2930130064487457]","[0.9186632633209229, 0.11075647175312042, -0.26744166016578674, -0.26882293820381165]","[0.9214138984680176, 0.11976265162229538, -0.25914889574050903, -0.2636195123195648]",1.5566697,0.05478402
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000385.color.png',)","[-0.7368309497833252, -0.4132556915283203, -0.08078791201114655]","[-0.744624137878418, -0.4686194658279419, -0.046566177159547806]","[0.9838312864303589, 0.166246235370636, 0.03874710202217102, -0.054193124175071716]","[0.9811521172523499, 0.1811741590499878, 0.0376444011926651, -0.05567214637994766]",1.7502791,0.06555157
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000555.color.png',)","[0.4494723975658417, 0.3965580463409424, -0.1661204844713211]","[0.43805214762687683, 0.39020437002182007, -0.15353642404079437]","[0.9357314705848694, -0.054329581558704376, 0.2930595576763153, 0.18860283493995667]","[0.9361761212348938, -0.05548226088285446, 0.28912410140037537, 0.19210202991962433]",0.62054855,0.018142488
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000460.color.png',)","[-0.22771795094013214, 0.08208540081977844, 0.3901485800743103]","[-0.21292734146118164, 0.06846912950277328, 0.4063444137573242]","[0.9902306795120239, -0.07637707144021988, -0.11660391837358475, -0.0036483081057667732]","[0.9909411668777466, -0.0748056098818779, -0.11140922456979752, -0.005269154440611601]",0.65251833,0.025816081
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000380.color.png',)","[0.8184893727302551, 0.07684944570064545, 0.2020207792520523]","[0.8226711750030518, 0.06333552300930023, 0.22208581864833832]","[0.8848487138748169, 0.006262353155761957, 0.3742971122264862, 0.27731800079345703]","[0.8856675624847412, 0.008338605985045433, 0.3721645176410675, 0.2775195240974426]",0.3516587,0.024550343
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000455.color.png',)","[-0.24444164335727692, 0.05957503244280815, 0.38190320134162903]","[-0.24053743481636047, 0.04118366912007332, 0.3925601840019226]","[0.9936281442642212, -0.06817464530467987, -0.08960798382759094, -0.005073991604149342]","[0.9938907027244568, -0.06658406555652618, -0.08786261081695557, -0.005294512491673231]",0.27124184,0.021611486
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000595.color.png',)","[0.1739450842142105, 0.2755715847015381, -0.004426345229148865]","[0.20149429142475128, 0.27586936950683594, 0.018739506602287292]","[0.9136163592338562, 0.04088940471410751, 0.352315217256546, 0.19876432418823242]","[0.9110678434371948, 0.042261868715286255, 0.3557373881340027, 0.2040102779865265]",0.7912952,0.03599589
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000525.color.png',)","[0.7243413329124451, 0.5001159310340881, -0.24716004729270935]","[0.7567721009254456, 0.5221869945526123, -0.23996029794216156]","[0.915248453617096, -0.06457778811454773, 0.3248574137687683, 0.22938530147075653]","[0.9115806221961975, -0.06822489947080612, 0.3300628364086151, 0.23542426526546478]",1.0900093,0.039883867
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000435.color.png',)","[-0.3112501800060272, -0.04647035524249077, 0.29579752683639526]","[-0.3024604916572571, -0.07437809556722641, 0.30784252285957336]","[0.9999036192893982, -0.013574899174273014, -0.0029090093448758125, -0.00013802785542793572]","[0.9999516010284424, -0.008311595767736435, -0.0013809200609102845, 0.005087912082672119]",0.8668208,0.03164147
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000020.color.png',)","[-0.4418566823005676, -0.23037108778953552, 0.19270266592502594]","[-0.46192580461502075, -0.2701323628425598, 0.22865693271160126]","[0.9924247860908508, 0.03429378569126129, -0.08267828077077866, -0.08415067195892334]","[0.9919281601905823, 0.04219577834010124, -0.084414541721344, -0.08468881249427795]",0.93040365,0.057240177
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000325.color.png',)","[-0.8467825651168823, -0.2650231122970581, -0.4115145802497864]","[-0.8550722599029541, -0.3045370876789093, -0.3862583637237549]","[0.958938479423523, 0.19156107306480408, -0.12967447936534882, -0.16409118473529816]","[0.9579982161521912, 0.20055846869945526, -0.12807834148406982, -0.16003642976284027]",1.1507863,0.047622997
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000035.color.png',)","[-0.38239914178848267, -0.32541874051094055, -0.0027195997536182404]","[-0.4021976888179779, -0.3638240396976471, 0.023170793429017067]","[0.9698495268821716, 0.16100727021694183, -0.08142253756523132, -0.1638261377811432]","[0.9676337242126465, 0.17046776413917542, -0.08219199627637863, -0.1669437289237976]",1.1723486,0.05037124
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000185.color.png',)","[-0.43116363883018494, -0.3853812515735626, -0.0033843237906694412]","[-0.4208787679672241, -0.3879137635231018, 0.01545292790979147]","[0.9270387887954712, 0.152998685836792, -0.2766779363155365, -0.20159336924552917]","[0.9283345937728882, 0.15176132321357727, -0.27015942335128784, -0.2053712159395218]",0.8855796,0.021610973
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000615.color.png',)","[-0.13888181746006012, 0.18714138865470886, -0.34894371032714844]","[-0.1164848729968071, 0.15786047279834747, -0.31213119626045227]","[0.977533221244812, 0.05329996719956398, -0.12043285369873047, -0.16457197070121765]","[0.9795556664466858, 0.060425885021686554, -0.11297096312046051, -0.15510301291942596]",1.6212002,0.052097566
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000160.color.png',)","[-0.12118332833051682, -0.4024903178215027, 0.029473846778273582]","[-0.10657089948654175, -0.4099152982234955, 0.05334794148802757]","[0.9741842150688171, 0.10567017644643784, -0.17079570889472961, -0.10309130698442459]","[0.9754631519317627, 0.1052505150437355, -0.1645127236843109, -0.10163431614637375]",0.7538098,0.028959038
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000145.color.png',)","[-1.017895221710205, 0.3876267969608307, -0.14529618620872498]","[-0.991191565990448, 0.4018418490886688, -0.1168888658285141]","[0.941010057926178, 0.12465142458677292, -0.26302570104599, -0.1725679486989975]","[0.9422827363014221, 0.11988980323076248, -0.258433997631073, -0.1759023368358612]",0.8595669,0.04149854
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000600.color.png',)","[0.21280217170715332, 0.2564103603363037, 0.028760025277733803]","[0.24183329939842224, 0.2508653700351715, 0.05903208255767822]","[0.9210543036460876, 0.05439860001206398, 0.335612028837204, 0.18990622460842133]","[0.9192690253257751, 0.057395368814468384, 0.3371342420578003, 0.19491218030452728]",0.720904,0.04230781
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000030.color.png',)","[-0.3542487621307373, -0.31094270944595337, 0.027353806421160698]","[-0.37880411744117737, -0.3441154658794403, 0.05396389588713646]","[0.971825122833252, 0.15324582159519196, -0.07170549780130386, -0.16410337388515472]","[0.9702056050300598, 0.16144847869873047, -0.07522434741258621, -0.16424618661403656]",1.0392827,0.049106967
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000040.color.png',)","[-0.39462244510650635, -0.34596356749534607, -0.02893359586596489]","[-0.41404348611831665, -0.38889190554618835, -0.005712651647627354]","[0.9698361754417419, 0.1550714373588562, -0.0840224176645279, -0.1682586818933487]","[0.9681360721588135, 0.16503778100013733, -0.08510078489780426, -0.16802649199962616]",1.1656532,0.052528385
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000080.color.png',)","[-0.16830694675445557, -0.5349865555763245, -0.047662824392318726]","[-0.17447909712791443, -0.5677447319030762, -0.018013734370470047]","[0.9789600968360901, 0.1515030413866043, -0.07146768271923065, -0.11651773005723953]","[0.9782930612564087, 0.15744470059871674, -0.07124880701303482, -0.11435650289058685]",0.72953784,0.044612356
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000545.color.png',)","[0.5643450021743774, 0.4169931411743164, -0.17492109537124634]","[0.5673854351043701, 0.41878142952919006, -0.15343919396400452]","[0.9411554336547852, -0.06257446855306625, 0.2754812240600586, 0.18552933633327484]","[0.9418829083442688, -0.06417765468358994, 0.2703459858894348, 0.18881458044052124]",0.7252338,0.021769572
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000645.color.png',)","[-0.31942668557167053, 0.16903795301914215, -0.3402726650238037]","[-0.29553893208503723, 0.1325726956129074, -0.29873430728912354]","[0.9472010135650635, 0.08907867223024368, -0.21386413276195526, -0.22166961431503296]","[0.9494158625602722, 0.09775877743959427, -0.20612415671348572, -0.2157907485961914]",1.5143617,0.060214408
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000125.color.png',)","[0.13529586791992188, -0.530944287776947, -0.0008532870560884476]","[0.13479682803153992, -0.5449236631393433, 0.022141095250844955]","[0.9899784326553345, 0.12814344465732574, -0.04481080174446106, -0.038909122347831726]","[0.9904034733772278, 0.12784412503242493, -0.03980720043182373, -0.03423778712749481]",0.786334,0.026914934
"('../data/deepslam_data/7Scenes/fire/seq-02/frame-000640.color.png',)","[-0.286048024892807, 0.1671593189239502, -0.3477296829223633]","[-0.27080240845680237, 0.13181209564208984, -0.3053670823574066]","[0.9520012736320496, 0.08266571164131165, -0.19996732473373413, -0.21650195121765137]","[0.9549574255943298, 0.09088896214962006, -0.19308677315711975, -0.20618698000907898]",1.7377125,0.05724024
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000285.color.png',)","[-0.21085655689239502, 0.026386495679616928, 0.1832878738641739]","[-0.20821534097194672, 0.01054529007524252, 0.21023966372013092]","[0.9906839728355408, -0.058245185762643814, -0.09159424901008606, -0.0822395458817482]","[0.9913302063941956, -0.05562235042452812, -0.08745284378528595, -0.08076270669698715]",0.58950114,0.031373855
"('../data/deepslam_data/7Scenes/fire/seq-01/frame-000350.color.png',)","[0.4767634868621826, 0.04734643176198006, 0.14349937438964844]","[0.47199222445487976, 0.033265482634305954, 0.17519472539424896]","[0.9843645095825195, -0.013410323299467564, 0.16390156745910645, 0.06311079859733582]","[0.9855645298957825, -0.01144747156649828, 0.1572277694940567, 0.06173265725374222]",0.82328945,0.035009045
