filename,predict_pose_x,gt_pose_x,predict_pose_q,gt_pose_q,ang_error,x_error
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000680.color.png',)","[0.06163293123245239, 0.07200587540864944, -0.17496250569820404]","[0.07468265295028687, 0.06186904013156891, -0.1671316772699356]","[0.9168434739112854, 0.031241338700056076, -0.33338654041290283, -0.21742913126945496]","[0.9188101887702942, 0.03420005738735199, -0.32927846908569336, -0.21492743492126465]",0.68528134,0.018285858
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000290.color.png',)","[0.05638296157121658, 0.16341949999332428, -0.20531603693962097]","[0.056287508457899094, 0.1590379774570465, -0.20192913711071014]","[0.9932134747505188, 0.08827544003725052, -0.041603635996580124, 0.06327347457408905]","[0.9931584000587463, 0.09007486701011658, -0.038453444838523865, 0.06359414011240005]",0.41871348,0.005538767
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000860.color.png',)","[-0.612248420715332, -0.08489405363798141, 0.10460852086544037]","[-0.6037166118621826, -0.08369909971952438, 0.0968126431107521]","[0.996944785118103, 0.0507090725004673, 0.030028920620679855, 0.05126354098320007]","[0.9969927668571472, 0.05020386353135109, 0.03087395615875721, 0.050317104905843735]",0.15825874,0.011618751
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000430.color.png',)","[-0.7845126986503601, 0.0964689627289772, 0.03956395760178566]","[-0.7664430737495422, 0.089920274913311, 0.03400735557079315]","[0.9894475340843201, 0.0050582061521708965, -0.1164136528968811, -0.08611533790826797]","[0.9900150895118713, 0.00563131645321846, -0.11025453358888626, -0.0876488983631134]",0.7327494,0.020006811
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000820.color.png',)","[-0.3838983476161957, 0.02234574593603611, 0.1625531017780304]","[-0.377371609210968, 0.021410992369055748, 0.15314804017543793]","[0.996402382850647, -0.054152846336364746, 0.06336691975593567, 0.015308939851820469]","[0.9965164065361023, -0.04770039767026901, 0.06661124527454376, 0.015579496510326862]",0.82897395,0.011485959
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000785.color.png',)","[-0.1514153778553009, 0.21848969161510468, 0.1339864581823349]","[-0.15568560361862183, 0.20976197719573975, 0.13017041981220245]","[0.9924482107162476, -0.11962904781103134, 0.02094879187643528, -0.017220934852957726]","[0.9931967854499817, -0.11263339221477509, 0.025724926963448524, -0.01456618495285511]",1.0202813,0.010438869
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000995.color.png',)","[0.09161485731601715, -0.05273473262786865, 0.0088160065934062]","[0.09004757553339005, -0.06201978027820587, 0.010607524774968624]","[0.9431062340736389, 0.0037735102232545614, 0.24274569749832153, 0.22718022763729095]","[0.9448323845863342, 0.008785687386989594, 0.24114911258220673, 0.22149884700775146]",0.9091295,0.009585302
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000255.color.png',)","[0.24416962265968323, 0.1021530032157898, -0.17454257607460022]","[0.26063454151153564, 0.10171345621347427, -0.16627328097820282]","[0.9704738855361938, 0.034964822232723236, -0.20624995231628418, -0.12007838487625122]","[0.9713243246078491, 0.033548492938280106, -0.2015029937028885, -0.12165574729442596]",0.60392934,0.018430084
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000700.color.png',)","[-0.00924365222454071, 0.1766911745071411, -0.3092675805091858]","[-0.004187026526778936, 0.16057439148426056, -0.28969860076904297]","[0.8686416149139404, -0.010403333231806755, -0.4020906388759613, -0.28926917910575867]","[0.8745197057723999, -0.006050442345440388, -0.3934969902038574, -0.28344103693962097]",1.4553232,0.025850823
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000400.color.png',)","[-0.5553411245346069, 0.006266573444008827, 0.05286853387951851]","[-0.5476035475730896, -0.00204114499501884, 0.047496598213911057]","[0.999653697013855, -0.0004967646091245115, 0.021628746762871742, 0.014984335750341415]","[0.9997023940086365, 0.0014218126889318228, 0.019956551492214203, 0.013962933793663979]",0.30901012,0.012559697
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000645.color.png',)","[0.3111717104911804, -0.10625427216291428, 0.0073767672292888165]","[0.3156719505786896, -0.11150169372558594, 0.019188418984413147]","[0.9713395237922668, 0.04955977573990822, -0.21587766706943512, -0.08625718951225281]","[0.9702801704406738, 0.05159757658839226, -0.2187398076057434, -0.0897054523229599]",0.5747108,0.013685858
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000705.color.png',)","[-0.010978469625115395, 0.20211182534694672, -0.3117729425430298]","[-0.0032642839942127466, 0.1887492537498474, -0.29613396525382996]","[0.8676891326904297, -0.01485755480825901, -0.4029965400695801, -0.29066914319992065]","[0.8728229403495789, -0.010270294733345509, -0.3948898911476135, -0.2865949273109436]",1.3050419,0.021969173
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000030.color.png',)","[0.12806358933448792, -0.048200055956840515, -0.017368195578455925]","[0.13536429405212402, -0.04159626364707947, -0.01282760500907898]","[0.990894079208374, 0.11258482187986374, 0.07052666693925858, 0.02190035954117775]","[0.9908127188682556, 0.10995077341794968, 0.07554581016302109, 0.02222312241792679]",0.6489099,0.010841002
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000190.color.png',)","[0.7821383476257324, 0.3611956834793091, 0.011294348165392876]","[0.8092737197875977, 0.3682216703891754, 0.014903265982866287]","[0.9783266186714172, -0.16222280263900757, 0.12328902631998062, 0.036887992173433304]","[0.9781683087348938, -0.16007500886917114, 0.12624570727348328, 0.04030897095799446]",0.57198054,0.028261587
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000085.color.png',)","[0.545744001865387, 0.01058601401746273, 0.07738421112298965]","[0.56141597032547, 0.010341310873627663, 0.08175194263458252]","[0.9962871670722961, 0.07104134559631348, -0.03674660623073578, -0.03185594454407692]","[0.996222734451294, 0.07121316343545914, -0.032492659986019135, -0.03759169206023216]",0.81852216,0.016271064
"('../data/deepslam_data/7Scenes/heads/seq-02/frame-000135.color.png',)","[0.7488679885864258, 0.09423945099115372, 0.07980673015117645]","[0.7573447823524475, 0.0933738574385643, 0.08289102464914322]","[0.9904370903968811, 0.03681226819753647, 0.12986688315868378, 0.028527498245239258]","[0.989805281162262, 0.04009541869163513, 0.13425691425800323, 0.025552883744239807]",0.7187293,0.0090619065
