filename,predict_pose_x,gt_pose_x,predict_pose_q,gt_pose_q,ang_error,x_error
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00001.png',)","[3.679997444152832, 5.343830585479736, 13.16818618774414]","[3.5279810428619385, 5.298668384552002, 12.461196899414062]","[0.9926118850708008, -0.11867072433233261, -0.008019540458917618, 0.02396968938410282]","[0.9930790066719055, -0.11613374203443527, 0.011075458489358425, 0.01358072366565466]",2.508588,0.72455674
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00003.png',)","[3.6322383880615234, 5.359450817108154, 13.059447288513184]","[3.5390431880950928, 5.295238018035889, 12.392606735229492]","[0.9924013614654541, -0.12075673043727875, -0.007042796816676855, 0.022535186260938644]","[0.992962658405304, -0.11716455221176147, 0.010602756403386593, 0.013610917143523693]",2.303641,0.67637634
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00005.png',)","[3.994145154953003, 5.360194206237793, 12.910985946655273]","[3.6167192459106445, 5.291207790374756, 12.129380226135254]","[0.9914345741271973, -0.12149439752101898, -0.02262224815785885, 0.042247407138347626]","[0.9920122623443604, -0.12051567435264587, -0.012364879250526428, 0.035139575600624084]",1.435286,0.8706991
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00007.png',)","[2.6898038387298584, 5.247371196746826, 12.754756927490234]","[2.691946029663086, 5.314082622528076, 12.222882270812988]","[0.9933409690856934, -0.11469916254281998, 0.002803741954267025, 0.010494512505829334]","[0.9942653775215149, -0.10672520846128464, 0.006266453769057989, 0.0026267438661307096]",1.34637,0.5360463
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00009.png',)","[0.8252516984939575, 5.15196418762207, 12.473950386047363]","[1.0022116899490356, 5.030975341796875, 11.97458553314209]","[0.996954619884491, -0.05122130736708641, -0.05309293046593666, -0.02527800016105175]","[0.9975050687789917, -0.04866174980998039, -0.03545482084155083, -0.03685982897877693]",2.4367292,0.54343206
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00011.png',)","[-0.04228707775473595, 4.252033233642578, 12.340890884399414]","[-0.08956464380025864, 4.049243450164795, 11.84861946105957]","[0.9946534037590027, -0.06333474069833755, -0.07900168746709824, 0.020298898220062256]","[0.9957342743873596, -0.06398193538188934, -0.06468731164932251, 0.015333366580307484]",1.7422111,0.53449976
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00013.png',)","[-0.6034862399101257, 5.340267181396484, 12.813593864440918]","[-0.6150659918785095, 5.189178943634033, 12.192737579345703]","[0.9918546080589294, -0.1074957326054573, -0.06632823497056961, 0.016424600034952164]","[0.9936515688896179, -0.10208519548177719, -0.04520372301340103, 0.013850508257746696]",2.524141,0.6390808
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00015.png',)","[-2.5251474380493164, 5.087863445281982, 11.881487846374512]","[-2.365900993347168, 5.086857795715332, 11.593326568603516]","[0.9858265519142151, -0.12913791835308075, -0.10019344836473465, 0.03782549500465393]","[0.9876355528831482, -0.1332540065050125, -0.07576999068260193, 0.03283758461475372]",2.9023569,0.32923755
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00017.png',)","[-3.269044876098633, 4.989307880401611, 12.363641738891602]","[-3.1786303520202637, 4.820265769958496, 11.896769523620605]","[0.9901978373527527, -0.0982622504234314, -0.09710822999477386, 0.02056102827191353]","[0.9921106100082397, -0.09535611420869827, -0.08057769387960434, 0.01144272182136774]",2.2000575,0.5046976
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00019.png',)","[-5.211330890655518, 5.324388027191162, 11.818255424499512]","[-5.0826311111450195, 5.16382360458374, 11.38343334197998]","[0.9882839322090149, -0.09546399861574173, -0.11907635629177094, 0.001551212975755334]","[0.9894318580627441, -0.09573416411876678, -0.1075928583741188, -0.016832033172249794]",2.48728,0.48105595
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00021.png',)","[-6.562010288238525, 5.308919906616211, 12.135407447814941]","[-6.182508945465088, 5.028556823730469, 11.677511215209961]","[0.9788606762886047, -0.10567323118448257, -0.17461980879306793, 0.013152960687875748]","[0.9834903478622437, -0.0975428894162178, -0.1524207890033722, 0.0002657870063558221]",3.1304615,0.65749043
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00023.png',)","[-8.297622680664062, 4.790708065032959, 11.857857704162598]","[-7.7303056716918945, 4.660826206207275, 11.547560691833496]","[0.9787734150886536, -0.08537862449884415, -0.1838424950838089, 0.03025192581117153]","[0.9820111989974976, -0.09012091904878616, -0.16322112083435059, 0.02985076792538166]",2.453057,0.6595469
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00025.png',)","[-9.44583797454834, 4.799560546875, 12.052903175354004]","[-8.789827346801758, 4.6551713943481445, 11.737775802612305]","[0.9701763391494751, -0.09436888992786407, -0.22074027359485626, 0.03355955705046654]","[0.976610004901886, -0.09584228694438934, -0.19089359045028687, 0.02463318221271038]",3.6491244,0.7419592
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00027.png',)","[-11.14762020111084, 4.703091144561768, 11.485331535339355]","[-10.486348152160645, 4.622321128845215, 11.281037330627441]","[0.9739395380020142, -0.0918215736746788, -0.20616307854652405, 0.02252749353647232]","[0.9780340790748596, -0.09843886643648148, -0.18275976181030273, 0.018921984359622]",2.8558657,0.69680744
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00029.png',)","[-12.46773910522461, 3.6011643409729004, 11.893787384033203]","[-11.741217613220215, 3.319329261779785, 11.298505783081055]","[0.9641956090927124, -0.06220150366425514, -0.2520558834075928, 0.054089684039354324]","[0.9676257967948914, -0.053623393177986145, -0.24167108535766602, 0.04919330030679703]",1.6883658,0.9806246
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00031.png',)","[-13.118782043457031, 3.5302257537841797, 11.696940422058105]","[-12.399364471435547, 3.3098087310791016, 11.419329643249512]","[0.9685131907463074, -0.04309098795056343, -0.23898477852344513, 0.05488034337759018]","[0.9731509685516357, -0.042634714394807816, -0.21942639350891113, 0.054877713322639465]",2.3033013,0.80200565
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00033.png',)","[-15.084213256835938, 4.600133895874023, 10.349230766296387]","[-13.910502433776855, 4.350955963134766, 10.117724418640137]","[0.9642571210861206, -0.070583276450634, -0.24737796187400818, 0.06348613649606705]","[0.9685097336769104, -0.07490640133619308, -0.2293034940958023, 0.06162700429558754]",2.1943579,1.2219992
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00035.png',)","[-15.659828186035156, 3.9698386192321777, 9.769797325134277]","[-14.741324424743652, 3.658132791519165, 9.369808197021484]","[0.9535425305366516, -0.045084837824106216, -0.2892747223377228, 0.07102232426404953]","[0.9599782228469849, -0.04047609120607376, -0.26943257451057434, 0.06488198041915894]",2.5469856,1.0491906
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00037.png',)","[-16.088550567626953, 3.354300022125244, 8.71716594696045]","[-15.205291748046875, 3.099806308746338, 8.611405372619629]","[0.9598206281661987, -0.03177519887685776, -0.27039918303489685, 0.06796357035636902]","[0.9649837613105774, -0.023418182507157326, -0.25334593653678894, 0.06382638216018677]",2.3043208,0.9252559
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00039.png',)","[-16.610042572021484, 3.209880828857422, 7.274823188781738]","[-15.727436065673828, 2.994166612625122, 7.1892409324646]","[0.9631077647209167, -0.0241528507322073, -0.2623250186443329, 0.05500587821006775]","[0.9678105115890503, -0.02143789641559124, -0.24658533930778503, 0.04559464007616043]",2.1918595,0.91260684
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00041.png',)","[-17.183807373046875, 2.700294256210327, 6.491802215576172]","[-16.116161346435547, 2.381901502609253, 6.317339897155762]","[0.9632318615913391, -0.02736242301762104, -0.25693628191947937, 0.07361666858196259]","[0.9680191874504089, -0.03284798562526703, -0.23927979171276093, 0.06786093860864639]",2.2859042,1.1276875
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00043.png',)","[-17.242372512817383, 2.571113348007202, 4.967605113983154]","[-16.18850326538086, 2.3463802337646484, 4.9325408935546875]","[0.9565524458885193, -0.029193053022027016, -0.2826784551143646, 0.0651780441403389]","[0.960687518119812, -0.02785387448966503, -0.2695070505142212, 0.06057799234986305]",1.6739328,1.0781349
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00045.png',)","[-17.501676559448242, 1.7711405754089355, 4.005751132965088]","[-16.147798538208008, 1.438629388809204, 3.9068470001220703]","[0.9500417113304138, -0.055075980722904205, -0.291701078414917, 0.09642602503299713]","[0.9547297954559326, -0.04752705618739128, -0.2769950032234192, 0.09749851375818253]",1.9723148,1.3976163
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00047.png',)","[-17.205001831054688, 1.3411527872085571, 2.7647488117218018]","[-15.922184944152832, 1.0776909589767456, 2.7460711002349854]","[0.9508114457130432, -0.052760351449251175, -0.28779035806655884, 0.1017380803823471]","[0.9557979106903076, -0.04988596960902214, -0.2711397111415863, 0.10220125317573547]",2.0189881,1.3097252
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00049.png',)","[-17.131486892700195, 0.479828417301178, 1.4530855417251587]","[-15.991722106933594, 0.34688040614128113, 1.5826226472854614]","[0.9492287635803223, -0.04873915761709213, -0.3008668124675751, 0.07790093123912811]","[0.9537872076034546, -0.0475446991622448, -0.2873305380344391, 0.07396409660577774]",1.7022169,1.1547809
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00051.png',)","[-17.0716609954834, 0.2904188930988312, 0.14820511639118195]","[-16.00062370300293, 0.2288496196269989, 0.41560980677604675]","[0.9503567218780518, -0.05194976553320885, -0.29710525274276733, 0.07649697363376617]","[0.9551450610160828, -0.05129320174455643, -0.28247490525245667, 0.0726284459233284]",1.8199943,1.1056297
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00053.png',)","[-17.254364013671875, -0.11593373119831085, -1.2233539819717407]","[-16.218868255615234, -0.1746276617050171, -0.8855556845664978]","[0.9460815787315369, -0.03501543402671814, -0.3096248209476471, 0.08852171152830124]","[0.9506614208221436, -0.038275279104709625, -0.2981506288051605, 0.07670809328556061]",1.9936297,1.0907815
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00055.png',)","[-17.053329467773438, -0.710059642791748, -2.405299186706543]","[-16.184934616088867, -0.735755205154419, -2.079732894897461]","[0.9371559023857117, -0.03950067609548569, -0.33286911249160767, 0.096832774579525]","[0.9417570233345032, -0.04634224623441696, -0.3199833631515503, 0.09250295162200928]",1.8221436,0.9277733
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00057.png',)","[-17.115785598754883, -1.2427979707717896, -3.4669110774993896]","[-16.161521911621094, -1.263769268989563, -3.1027169227600098]","[0.9258643388748169, -0.04350294545292854, -0.35699424147605896, 0.11592201143503189]","[0.9325246810913086, -0.04474213346838951, -0.34034863114356995, 0.11206524074077606]",2.1062684,1.0216146
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00059.png',)","[-16.962419509887695, -1.8059018850326538, -4.710885524749756]","[-16.09691047668457, -1.8327617645263672, -4.394416809082031]","[0.9351894855499268, -0.05055588483810425, -0.33173781633377075, 0.11320245265960693]","[0.9404125213623047, -0.04621625691652298, -0.3195197582244873, 0.10675013065338135]",1.7636437,0.9219435
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00061.png',)","[-16.91364288330078, -2.386580228805542, -5.860623359680176]","[-16.15999412536621, -2.2614753246307373, -5.337996482849121]","[0.923784077167511, -0.019154230132699013, -0.36510488390922546, 0.11381854116916656]","[0.9297565817832947, -0.01582326740026474, -0.3512810170650482, 0.10910555720329285]",1.8473135,0.9256222
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00063.png',)","[-16.98307991027832, -2.8790183067321777, -7.125138759613037]","[-16.160968780517578, -2.78606915473938, -6.690602779388428]","[0.9162881970405579, -0.028674380853772163, -0.377973347902298, 0.12934374809265137]","[0.9190995693206787, -0.027687739580869675, -0.37006640434265137, 0.13243964314460754]",1.0309653,0.93452007
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00065.png',)","[-16.987106323242188, -3.2014100551605225, -8.351204872131348]","[-16.139163970947266, -3.12162184715271, -7.971978187561035]","[0.9166818857192993, -0.0329134576022625, -0.3809870779514313, 0.11601699143648148]","[0.9219954013824463, -0.027567235752940178, -0.371059775352478, 0.10714094340801239]",1.7529602,0.93230104
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00067.png',)","[-16.939212799072266, -3.7765302658081055, -9.467690467834473]","[-16.04262924194336, -3.6963305473327637, -9.020001411437988]","[0.9074776768684387, -0.030947765335440636, -0.40120387077331543, 0.12067344784736633]","[0.9132151007652283, -0.025958744809031487, -0.3897743821144104, 0.11593209207057953]",1.6640847,1.0053455
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00069.png',)","[-16.87130355834961, -4.1400065422058105, -10.513253211975098]","[-16.11580467224121, -4.119949817657471, -10.238975524902344]","[0.9079790711402893, -0.004491096828132868, -0.3944595158100128, 0.141264408826828]","[0.911029040813446, -0.006974725518375635, -0.3857579231262207, 0.1454930156469345]",1.196142,0.8039957
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00071.png',)","[-17.011810302734375, -4.645495414733887, -11.476775169372559]","[-16.253517150878906, -4.569571018218994, -11.217585563659668]","[0.9004946947097778, 0.039589665830135345, -0.410518616437912, 0.13790003955364227]","[0.9000270962715149, 0.0452066995203495, -0.41041284799575806, 0.13953085243701935]",0.67376316,0.8049548
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00073.png',)","[-16.87639808654785, -5.0979766845703125, -12.70803165435791]","[-16.310623168945312, -5.045643329620361, -12.444442749023438]","[0.900704026222229, 0.031912967562675476, -0.40432655811309814, 0.15567205846309662]","[0.9003470540046692, 0.027734894305467606, -0.4040258228778839, 0.15927696228027344]",0.63303566,0.62635386
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00075.png',)","[-16.611347198486328, -5.450299263000488, -13.729945182800293]","[-16.261144638061523, -5.46656608581543, -13.53152084350586]","[0.8911185264587402, 0.05251387879252434, -0.4230284094810486, 0.1555541604757309]","[0.8916702270507812, 0.054397691041231155, -0.421608567237854, 0.15560033917427063]",0.27411222,0.40283826
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00077.png',)","[-15.947722434997559, -5.8864054679870605, -14.663379669189453]","[-15.847607612609863, -5.937795162200928, -14.56131649017334]","[0.8773847222328186, 0.07792950421571732, -0.44144338369369507, 0.17102870345115662]","[0.8750385642051697, 0.08715634047985077, -0.44168001413345337, 0.1778487265110016]",1.3411278,0.15192357
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00079.png',)","[-15.706365585327148, -6.126677989959717, -15.380518913269043]","[-15.255921363830566, -6.141605854034424, -15.259867668151855]","[0.8755176663398743, 0.06666631996631622, -0.4507991671562195, 0.160637766122818]","[0.8715829849243164, 0.06770098209381104, -0.45454275608062744, 0.17073555290699005]",1.3187641,0.4665614
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00081.png',)","[-15.141594886779785, -6.583613872528076, -16.261280059814453]","[-14.593240737915039, -6.53868293762207, -16.124366760253906]","[0.8706048727035522, 0.11882699280977249, -0.4444091320037842, 0.17443570494651794]","[0.8648528456687927, 0.13453394174575806, -0.44770118594169617, 0.18301308155059814]",2.1868546,0.5669711
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00083.png',)","[-14.096915245056152, -7.048530578613281, -16.108469009399414]","[-13.944108009338379, -7.107977867126465, -16.306840896606445]","[0.8854632377624512, 0.1730360984802246, -0.39595699310302734, 0.17097245156764984]","[0.8782907724380493, 0.19364944100379944, -0.3952743411064148, 0.18671779334545135]",3.0846162,0.25736246
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00085.png',)","[-13.574005126953125, -7.161714553833008, -16.6766300201416]","[-12.750988006591797, -7.132399082183838, -16.629701614379883]","[0.9042599201202393, 0.17086286842823029, -0.35917168855667114, 0.15529237687587738]","[0.9078482985496521, 0.18736986815929413, -0.3358965814113617, 0.16696599125862122]",3.5563452,0.82487506
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00087.png',)","[-11.903846740722656, -7.292194843292236, -16.50458335876465]","[-11.435158729553223, -7.274463653564453, -16.524791717529297]","[0.8888649344444275, 0.2121349275112152, -0.3707524240016937, 0.16571249067783356]","[0.888789176940918, 0.22739355266094208, -0.3578428626060486, 0.1740531325340271]",2.4816089,0.46945843
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00089.png',)","[-10.627266883850098, -7.185880184173584, -16.65121078491211]","[-10.133447647094727, -7.231594562530518, -16.723482131958008]","[0.8932180404663086, 0.2233588546514511, -0.3517312705516815, 0.1689896285533905]","[0.8909301161766052, 0.2354527860879898, -0.3463391065597534, 0.17565539479255676]",1.7182351,0.501169
"('../data/deepslam_data/Cambridge/OldHospital/train/rgb/seq1_frame00091.png',)","[-9.053025245666504, -7.265503406524658, -16.700674057006836]","[-8.8280611038208, -7.3372602462768555, -16.836341857910156]","[0.8910714387893677, 0.2564202845096588, -0.32967105507850647, 0.17764411866664886]","[0.8845034837722778, 0.2722133696079254, -0.3337463438510895, 0.1793515533208847]",2.023635,0.27233005
