filename,predict_pose_x,gt_pose_x,predict_pose_q,gt_pose_q,ang_error,x_error
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00001.png',)","[-59.78511428833008, -2.048490285873413, -4.284592628479004]","[-59.52141189575195, -2.060706853866577, -4.260735034942627]","[0.8809760212898254, -0.04781763628125191, -0.4634093642234802, 0.08274313062429428]","[0.8668137788772583, -0.060686249285936356, -0.48819807171821594, 0.08132496476173401]",3.592481,0.26506108
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00003.png',)","[-60.02022933959961, -2.057567834854126, -4.388138294219971]","[-59.63939666748047, -2.075038194656372, -4.2360076904296875]","[0.8774399757385254, -0.04951546713709831, -0.470233678817749, 0.08079332113265991]","[0.8660667538642883, -0.05949071794748306, -0.4896155893802643, 0.08164431154727936]",2.819176,0.41046616
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00005.png',)","[-60.252262115478516, -2.0381696224212646, -4.183833122253418]","[-59.88829803466797, -2.108572006225586, -4.12283182144165]","[0.8715546131134033, -0.046602763235569, -0.4791029095649719, 0.09317280352115631]","[0.8623555898666382, -0.0538225919008255, -0.49603164196014404, 0.08601514250040054]",2.4960759,0.37569603
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00007.png',)","[-60.522422790527344, -2.0790326595306396, -4.392610549926758]","[-59.800071716308594, -2.0440421104431152, -4.2435479164123535]","[0.8497123718261719, -0.04197784140706062, -0.5163357257843018, 0.09810233861207962]","[0.8427510857582092, -0.052276138216257095, -0.5280924439430237, 0.09031233936548233]",2.1540368,0.73840034
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00009.png',)","[-59.59817123413086, -2.268056869506836, -4.776767253875732]","[-59.244102478027344, -2.335463523864746, -4.587728977203369]","[0.8601333498954773, -0.042911138385534286, -0.4994748830795288, 0.09409596025943756]","[0.8505584597587585, -0.053960975259542465, -0.515500009059906, 0.0888727679848671]",2.556801,0.40699366
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00011.png',)","[-59.12411880493164, -2.4208099842071533, -5.5951385498046875]","[-58.8127326965332, -2.508931875228882, -5.518499374389648]","[0.8792628049850464, -0.052820805460214615, -0.46894189715385437, 0.06481079757213593]","[0.8719568848609924, -0.06636186689138412, -0.4814413785934448, 0.05917449668049812]",2.3613603,0.3325663
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00013.png',)","[-58.88125228881836, -2.676710367202759, -6.6607489585876465]","[-58.06272506713867, -2.6194353103637695, -6.546141624450684]","[0.846302330493927, -0.00839974731206894, -0.5227128863334656, 0.10233806818723679]","[0.8328545689582825, -0.008301852270960808, -0.5416439175605774, 0.11360567808151245]",2.9576576,0.8284939
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00015.png',)","[-58.03425979614258, -3.0124449729919434, -7.595736026763916]","[-57.43736267089844, -3.115884304046631, -7.467319011688232]","[0.856525182723999, -0.008367056027054787, -0.5044792890548706, 0.10860604047775269]","[0.8476812839508057, -0.005779902916401625, -0.5197808742523193, 0.10597656667232513]",2.0683944,0.619255
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00017.png',)","[-57.34694290161133, -3.439377546310425, -8.889577865600586]","[-57.15481948852539, -3.6327390670776367, -8.774633407592773]","[0.862179696559906, 0.017172634601593018, -0.5023722052574158, 0.06303530186414719]","[0.8494598269462585, 0.013191824778914452, -0.5222891569137573, 0.07387898862361908]",3.014282,0.2958248
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00019.png',)","[-56.747920989990234, -3.5870680809020996, -10.640877723693848]","[-56.44607162475586, -3.6127452850341797, -10.475251197814941]","[0.8651809692382812, -0.003623336786404252, -0.4909249544143677, 0.10218405723571777]","[0.8539959788322449, 0.0016036424785852432, -0.510215163230896, 0.10182753205299377]",2.6241832,0.34526005
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00021.png',)","[-56.175411224365234, -3.8479278087615967, -11.519429206848145]","[-56.15635681152344, -3.9248199462890625, -11.485692977905273]","[0.8340595364570618, -0.037362124770879745, -0.5409203767776489, 0.10175395011901855]","[0.8291003704071045, -0.04608916863799095, -0.5495557188987732, 0.09196127206087112]",1.8875511,0.08610229
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00023.png',)","[-55.056087493896484, -3.994688034057617, -12.518733024597168]","[-55.35185623168945, -4.047863483428955, -12.585806846618652]","[0.8267036080360413, -0.02517068386077881, -0.5520973205566406, 0.10543331503868103]","[0.8110389709472656, -0.037780508399009705, -0.5744352340698242, 0.10398375242948532]",3.4483912,0.3079053
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00025.png',)","[-54.822601318359375, -4.101652145385742, -13.30400276184082]","[-54.478580474853516, -4.145969390869141, -13.055854797363281]","[0.8153030276298523, -0.0351412259042263, -0.5667308568954468, 0.11341201514005661]","[0.8060412406921387, -0.03862607106566429, -0.5803573727607727, 0.10950333625078201]",1.9806312,0.4264877
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00027.png',)","[-53.546085357666016, -4.068609714508057, -13.104669570922852]","[-53.431034088134766, -4.099013805389404, -12.852703094482422]","[0.8409653306007385, -0.04267009347677231, -0.5329793095588684, 0.08300382643938065]","[0.8332681655883789, -0.05108850076794624, -0.5427485704421997, 0.09207725524902344]",2.0100517,0.27865446
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00029.png',)","[-52.67644119262695, -3.6656949520111084, -12.419644355773926]","[-52.27602767944336, -3.794693946838379, -12.343408584594727]","[0.8541773557662964, -0.050855692476034164, -0.513323187828064, 0.06552999466657639]","[0.8452609777450562, -0.05261372774839401, -0.5259786248207092, 0.07818043231964111]",2.2992198,0.42753202
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00031.png',)","[-51.40102005004883, -3.5608127117156982, -11.226472854614258]","[-51.228214263916016, -3.673046112060547, -11.306427001953125]","[0.793524980545044, -0.08042383193969727, -0.6007065773010254, 0.054789718240499496]","[0.7842276096343994, -0.07760461419820786, -0.613895058631897, 0.04579845443367958]",2.1401842,0.22102226
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00033.png',)","[-51.24338150024414, -3.2299938201904297, -9.77381706237793]","[-50.7745246887207, -3.46711802482605, -9.89318561553955]","[0.8560715913772583, -0.06973480433225632, -0.5091451406478882, 0.055223964154720306]","[0.8525834083557129, -0.06234945356845856, -0.5167012214660645, 0.04726443439722061]",1.5681916,0.53879815
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00035.png',)","[-50.13574981689453, -2.8283908367156982, -8.546568870544434]","[-50.01115798950195, -2.9418044090270996, -8.627537727355957]","[0.8671156167984009, -0.08727027475833893, -0.48869335651397705, 0.04090530052781105]","[0.8531677722930908, -0.08908946812152863, -0.5128859877586365, 0.03340347111225128]",3.320015,0.18692704
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00037.png',)","[-49.531455993652344, -2.4367334842681885, -7.368620872497559]","[-49.2548713684082, -2.590836763381958, -7.38032341003418]","[0.8608121871948242, -0.08482538908720016, -0.49880775809288025, 0.05475280433893204]","[0.8516854047775269, -0.08199888467788696, -0.5141342878341675, 0.05978430062532425]",2.148215,0.31683406
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00039.png',)","[-49.14482879638672, -2.477585554122925, -6.098126411437988]","[-48.57492446899414, -2.5951058864593506, -6.200129985809326]","[0.904818594455719, -0.06021390110254288, -0.4176133871078491, 0.057243090122938156]","[0.8974624872207642, -0.060144271701574326, -0.43323054909706116, 0.05705304443836212]",1.977863,0.5907679
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00041.png',)","[-47.533172607421875, -2.1025049686431885, -5.728027820587158]","[-47.4443473815918, -2.1406240463256836, -5.582040309906006]","[0.890076220035553, -0.06182205304503441, -0.43948161602020264, 0.10391425341367722]","[0.8843579292297363, -0.06286434829235077, -0.4525238275527954, 0.09581954032182693]",1.8809044,0.17508666
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00043.png',)","[-46.63555908203125, -2.0068860054016113, -4.929993629455566]","[-46.421852111816406, -2.0171830654144287, -4.76283597946167]","[0.8820505738258362, -0.04571088030934334, -0.4555875360965729, 0.11107397079467773]","[0.8820527791976929, -0.04781721159815788, -0.45784229040145874, 0.10038387030363083]",1.2740875,0.2715113
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00045.png',)","[-45.72364807128906, -1.903713583946228, -4.411257266998291]","[-45.25908279418945, -1.9886274337768555, -4.164259433746338]","[0.907961905002594, -0.035901881754398346, -0.4058725833892822, 0.09789680689573288]","[0.9034755229949951, -0.03259565681219101, -0.4155750870704651, 0.09983465075492859]",1.3002352,0.53295326
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00047.png',)","[-44.5853271484375, -1.5473500490188599, -3.25091552734375]","[-44.20528030395508, -1.4531763792037964, -3.2235591411590576]","[0.909226655960083, -0.029333682730793953, -0.3935130536556244, 0.13264235854148865]","[0.9014744162559509, -0.025111423805356026, -0.41150569915771484, 0.1318199336528778]",2.2978578,0.3924954
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00049.png',)","[-43.19245910644531, -1.3667048215866089, -2.677351951599121]","[-42.73024368286133, -1.4392997026443481, -2.6287479400634766]","[0.8938316106796265, -0.07521270215511322, -0.4337270259857178, 0.0853765681385994]","[0.8896099925041199, -0.08200275152921677, -0.43948885798454285, 0.09337719529867172]",1.4526317,0.4703993
"('../data/deepslam_data/Cambridge/KingsCollege/train/rgb/seq1_frame00051.png',)","[-41.567325592041016, -1.3821524381637573, -2.680668592453003]","[-41.69752883911133, -1.3731824159622192, -2.3910555839538574]","[0.8941881656646729, -0.029582208022475243, -0.43739184737205505, 0.09077896922826767]","[0.8897788524627686, -0.01973097398877144, -0.4489555358886719, 0.07964398711919785]",2.2163632,0.31766182
