filename,predict_pose_x,gt_pose_x,predict_pose_q,gt_pose_q,ang_error,x_error
"('../data/deepslam_data/7Scenes/stairs/seq-06/frame-000180.color.png',)","[-0.05569274351000786, -0.4001159369945526, 0.047645095735788345]","[-0.06267888844013214, -0.4433971643447876, 0.05192719027400017]","[0.9218471646308899, 0.18643970787525177, 0.2821069359779358, 0.1893506795167923]","[0.920973002910614, 0.1955115646123886, 0.2800290584564209, 0.187530517578125]",1.0921613,0.044050053
"('../data/deepslam_data/7Scenes/stairs/seq-06/frame-000060.color.png',)","[0.24894478917121887, -0.6982825994491577, 0.0018283278914168477]","[0.23439565300941467, -0.695710301399231, 0.016170216724276543]","[0.9965035915374756, 0.017766796052455902, 0.05188887193799019, 0.06302769482135773]","[0.9966248273849487, 0.014160506427288055, 0.04948745295405388, 0.06394900381565094]",0.50667554,0.020590868
"('../data/deepslam_data/7Scenes/stairs/seq-05/frame-000070.color.png',)","[0.4289284348487854, -0.3167627155780792, 0.2909015119075775]","[0.41785404086112976, -0.35169535875320435, 0.2921851575374603]","[0.9862562417984009, -0.005150552839040756, 0.1350303292274475, 0.0950736552476883]","[0.9864635467529297, -0.0031410150695592165, 0.1333727091550827, 0.09534961730241776]",0.3013157,0.03666851
"('../data/deepslam_data/7Scenes/stairs/seq-02/frame-000045.color.png',)","[-0.08394366502761841, -0.18158182501792908, 0.2875783145427704]","[-0.06884775310754776, -0.2059771567583084, 0.29287683963775635]","[0.9709171652793884, 0.0009521538740955293, 0.1741880625486374, 0.16424855589866638]","[0.969991147518158, 0.004134706687182188, 0.18150967359542847, 0.16172297298908234]",0.96508914,0.0291735
"('../data/deepslam_data/7Scenes/stairs/seq-06/frame-000160.color.png',)","[-0.12887969613075256, -0.4259067177772522, 0.11182599514722824]","[-0.12630818784236908, -0.46935704350471497, 0.12493041902780533]","[0.9144043922424316, 0.20570579171180725, 0.2603648006916046, 0.23186172544956207]","[0.9145990610122681, 0.2124146819114685, 0.2581738233566284, 0.22745268046855927]",0.95448786,0.045456234
"('../data/deepslam_data/7Scenes/stairs/seq-05/frame-000385.color.png',)","[0.020595071837306023, 1.2583222389221191, -0.7540844678878784]","[0.01607571355998516, 1.2468621730804443, -0.756999671459198]","[0.9946087598800659, 0.05155448615550995, -0.061971306800842285, -0.06523178517818451]","[0.9944280982017517, 0.04912622645497322, -0.06357758492231369, -0.06824492663145065]",0.47806224,0.01265923
"('../data/deepslam_data/7Scenes/stairs/seq-03/frame-000055.color.png',)","[-0.9622140526771545, -0.2788591682910919, 0.18237890303134918]","[-0.9583481550216675, -0.2852741479873657, 0.1875452846288681]","[0.8611859679222107, 0.0835849940776825, -0.4553389251232147, -0.2098541259765625]","[0.8604989051818848, 0.07026167213916779, -0.45809948444366455, -0.2115412801504135]",1.573175,0.009098825
"('../data/deepslam_data/7Scenes/stairs/seq-05/frame-000460.color.png',)","[0.02154591679573059, 1.2670613527297974, -0.7362841367721558]","[0.02442046068608761, 1.2659633159637451, -0.7461286783218384]","[0.994789183139801, 0.061256397515535355, -0.062206972390413284, -0.05265400931239128]","[0.9946044683456421, 0.056769538670778275, -0.0629657730460167, -0.05978701636195183]",0.96913576,0.010314247
"('../data/deepslam_data/7Scenes/stairs/seq-02/frame-000380.color.png',)","[0.22947143018245697, 0.09197279065847397, -0.22038991749286652]","[0.2232154905796051, 0.09267894178628922, -0.20963899791240692]","[0.9321227073669434, 0.22899794578552246, 0.18775492906570435, 0.2084595263004303]","[0.9299141764640808, 0.22836725413799286, 0.1950686126947403, 0.2122645527124405]",0.9803772,0.012458639
"('../data/deepslam_data/7Scenes/stairs/seq-05/frame-000455.color.png',)","[0.018877528607845306, 1.2436753511428833, -0.7340096235275269]","[0.02205676957964897, 1.2536665201187134, -0.7447832226753235]","[0.9941650032997131, 0.06455013900995255, -0.06511543691158295, -0.05682694539427757]","[0.9941624999046326, 0.05909251049160957, -0.06684534251689911, -0.060668300837278366]",0.78931445,0.015033346
"('../data/deepslam_data/7Scenes/stairs/seq-03/frame-000095.color.png',)","[-0.5615312457084656, -0.23515090346336365, 0.20828332006931305]","[-0.5094406008720398, -0.24208831787109375, 0.20063841342926025]","[0.8656263947486877, -0.009850090369582176, -0.45873451232910156, -0.2003908008337021]","[0.871222972869873, -0.017567021772265434, -0.4516284763813019, -0.1915561854839325]",1.6971512,0.053103745
"('../data/deepslam_data/7Scenes/stairs/seq-03/frame-000025.color.png',)","[-1.3505222797393799, -0.346937358379364, 0.20791584253311157]","[-1.3547286987304688, -0.35571563243865967, 0.24034354090690613]","[0.8608088493347168, 0.08452125638723373, -0.45438724756240845, -0.2130645215511322]","[0.8580613732337952, 0.077256940305233, -0.458072692155838, -0.2189326137304306]",1.1922094,0.033857167
"('../data/deepslam_data/7Scenes/stairs/seq-05/frame-000435.color.png',)","[0.01733323186635971, 1.2617952823638916, -0.7491541504859924]","[0.023030871525406837, 1.260848045349121, -0.7586779594421387]","[0.9945175051689148, 0.054380569607019424, -0.06468410044908524, -0.06159432604908943]","[0.9941769242286682, 0.054819460958242416, -0.06581701338291168, -0.06538504362106323]",0.45283875,0.01113837
